run_name,status,start_time,is_model_run,metrics.alt_threshold_max_value,metrics.baseline_cv_seconds,metrics.confusion_false_negative,metrics.confusion_false_positive,metrics.confusion_true_negative,metrics.confusion_true_positive,metrics.cv_pr_auc_baseline,metrics.cv_pr_auc_improvement,metrics.cv_pr_auc_tuned,metrics.expected_campaign_value_usd,metrics.final_accuracy,metrics.final_balanced_accuracy,metrics.final_brier,metrics.final_f1,metrics.final_mcc,metrics.final_pr_auc,metrics.final_precision,metrics.final_recall,metrics.final_roc_auc,metrics.final_threshold,metrics.leakage_pr_auc_with,metrics.leakage_pr_auc_without,metrics.model_size_mb,metrics.operating_threshold,metrics.positive_rate_pct,metrics.search_seconds,metrics.test_accuracy,metrics.test_balanced_accuracy,metrics.test_brier,metrics.test_f1,metrics.test_latency_max_ms,metrics.test_latency_mean_ms,metrics.test_latency_median_ms,metrics.test_latency_p95_ms,metrics.test_mcc,metrics.test_pr_auc,metrics.test_precision,metrics.test_recall,metrics.test_roc_auc,metrics.test_search_seconds,metrics.test_threshold,params.classifier__C,params.classifier__colsample_bytree,params.classifier__learning_rate,params.classifier__max_depth,params.classifier__max_features,params.classifier__min_child_weight,params.classifier__min_samples_leaf,params.classifier__min_samples_split,params.classifier__n_estimators,params.classifier__penalty,params.classifier__solver,params.classifier__subsample,params.cv_folds,params.dataset_rows_raw,params.dataset_rows_used,params.duplicates_removed,params.model,params.n_features_in,params.random_state,params.scale_pos_weight,params.search_iterations,params.search_scoring,params.selected_model,params.selected_rationale,params.selection_rule,params.test_rows,params.test_size,params.train_rows
XGBoost,FINISHED,2026-07-30 20:25:51.022000+00:00,True,,0.6313456000007136,,,,,0.7231829130710589,0.030789979862264394,0.7539728929333233,,,,,,,,,,,,,,,,,35.51140619999933,0.871,0.8574,0.0952,0.6702,11.52,8.388,8.178,10.263,0.6128,0.7546,0.5585,0.8377,0.9367,35.51,0.5,,0.8,0.01,6,,3,,,400,,,0.7,5,,,,XGBoost,,42,,30,average_precision,,,,,,
Random Forest,FINISHED,2026-07-30 20:23:26.133000+00:00,True,,1.2702313999998296,,,,,0.7173852896272296,0.03412661279089302,0.7515119024181226,,,,,,,,,,,,,,,,,140.15721200000007,0.8685,0.8453,0.0926,0.6589,40.044,31.974,32.19,36.463,0.5971,0.7428,0.5546,0.8115,0.9328,140.16,0.5,,,,None,0.5,,8,10,500,,,,5,,,,Random Forest,,42,,30,average_precision,,,,,,
Logistic Regression,FINISHED,2026-07-30 20:21:32.579000+00:00,True,,4.955739899999571,,,,,0.645930188790097,0.00931195400893281,0.6552421427990298,,,,,,,,,,,,,,,,,107.85784539999895,0.8697,0.8268,0.1271,0.6475,9.091,5.135,4.677,7.941,0.58,0.6701,0.5615,0.7644,0.9157,107.86,0.5,0.01,,,,,,,,,l1,liblinear,,5,,,,Logistic Regression,,42,,30,average_precision,,,,,,
training-session-20260730-202130,RUNNING,2026-07-30 20:21:32.442000+00:00,False,0.75,,114.0,128.0,1931.0,268.0,,,,1236.0,0.9009,0.8197,0.0952,0.6889,0.6301,0.7546,0.6768,0.7016,0.9367,0.7,0.7068,0.3437,0.474,0.7,15.632937320770177,,,,,,,,,,,,,,,,,,0.8,0.01,6,,3,,,400,,,0.7,5,12330,12205,125,,17,42,5.3984,30,,XGBoost,Sequential boosting; strongest family for tabular data at this scale.,highest test average_precision,2441,0.2,9764
