outcome,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,probability
false_negative,3.886,154.391,1.044,66.332,55.079,2137.875,0.009,0.029,3.629,0.012,0.443
false_positive,4.281,125.068,0.922,59.201,51.695,1939.685,0.006,0.021,24.29,0.011,0.836
true_negative,1.982,65.055,0.404,27.407,26.683,997.963,0.025,0.047,0.592,0.07,0.152
true_positive,3.183,128.607,0.78,58.673,49.459,1956.808,0.003,0.016,36.922,0.034,0.894
